"Review priority","Name","New-site slug","Department","Proposed category","Price (NGN)","Photo count","Sizes","Colour","Fabric","Fit","Marked new","Category review needed","Colour review needed","Fabric review needed","Fit review needed","Checkout enabled","Managed preview path","Legacy source image"
"14","Forge","soso-114","men","Shirts","200000","4","S | M | L | XL | XXL","As photographed","Linen","To be confirmed","Yes","No","Yes","No","Yes","No","/api/storage/objects/uploads/legacy-catalogue/3223/1-ba70360e1a39.jpg","https://shopsoso.co/wp-content/uploads/2026/03/WhatsApp-Image-2026-03-02-at-8.48.29-PM14.jpeg"
"15","Monarch","soso-113","men","Agbadas","500000","4","S | M | L | XL | XXL","As photographed","Wool","To be confirmed","Yes","No","Yes","No","Yes","No","/api/storage/objects/uploads/legacy-catalogue/3212/1-402188a3123e.jpg","https://shopsoso.co/wp-content/uploads/2026/03/WhatsApp-Image-2026-03-02-at-9.09.04-PM2.jpeg"
"16","Kanu","pants","men","Two-Piece","100000","9","S | M | L | XL | XXL","As photographed","Linen","To be confirmed","No","No","Yes","No","Yes","No","/api/storage/objects/uploads/legacy-catalogue/2914/1-8e7978ef011f.jpg","https://shopsoso.co/wp-content/uploads/2025/10/IMG_6873-copy-scaled.jpg"
"17","Onyx","linen-two-piece-2","men","Two-Piece","200000","12","S | M | L | XL | XXL","Black","Linen","To be confirmed","No","No","No","No","Yes","No","/api/storage/objects/uploads/legacy-catalogue/2896/1-8daad14a6d2c.jpg","https://shopsoso.co/wp-content/uploads/2025/10/IMG_6826-copy-scaled.jpg"
"18","The Ivora","soso-111","men","Kaftans","250000","7","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","No","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/2766/1-acddbde641ba.jpg","https://shopsoso.co/wp-content/uploads/2025/09/IMG_3268-scaled.jpg"
"19","The Zenor","soso-110","men","Kaftans","265000","6","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","No","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/2754/1-af637f29f14c.jpg","https://shopsoso.co/wp-content/uploads/2025/09/IMG_3282-scaled.jpg"
"20","Aeris","soso-109","men","Shirts","200000","3","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","No","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/2747/1-e66ecf312bf8.jpg","https://shopsoso.co/wp-content/uploads/2025/09/IMG_32831-scaled.jpg"
"21","The Zenor","soso-108","men","Kaftans","265000","7","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","No","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/2733/1-46883ba9588f.jpg","https://shopsoso.co/wp-content/uploads/2025/09/IMG_3276-scaled.jpg"
"22","The Auron","soso-107","men","Kaftans","250000","1","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","No","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/2664/1-81a7da121a78.jpg","https://shopsoso.co/wp-content/uploads/2025/05/SOSO_S.O.STUDIOS10138-scaled.jpg"
"23","The Lumen","soso-106","men","Kaftans","250000","1","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","No","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/2656/1-eff0c0a77edb.jpg","https://shopsoso.co/wp-content/uploads/2025/05/SOSO_S.O.STUDIOS10170-scaled.jpg"
"24","Imperial","soso-105","men","Agbadas","500000","3","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","No","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/2640/1-353f52336c07.jpg","https://shopsoso.co/wp-content/uploads/2025/05/SOSO_S.O.STUDIOS10099-scaled.jpg"
"25","The Raven","soso-104","men","Kaftans","250000","2","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","No","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/2632/1-f7e1ac118da0.jpg","https://shopsoso.co/wp-content/uploads/2025/05/SOSO_S.O.STUDIOS10118-scaled.jpg"
"26","The Carbon","soso-103","men","Kaftans","250000","4","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","No","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/2622/1-3929b9ac2151.jpg","https://shopsoso.co/wp-content/uploads/2025/05/SOSO_S.O.STUDIOS10079-scaled.jpg"
"27","The Phantom","soso-102","men","Kaftans","250000","3","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","No","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/2610/1-ac80caa18fdd.jpg","https://shopsoso.co/wp-content/uploads/2025/05/SOSO_S.O.STUDIOS10237-scaled.jpg"
"28","Kaelis","soso-101","men","Agbadas","500000","2","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","No","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/2602/1-cb60c5eb3bcf.jpg","https://shopsoso.co/wp-content/uploads/2025/05/SOSO_S.O.STUDIOS10154-scaled.jpg"
"29","The Inferno","danshiki-4","men","Dashikis","250000","5","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","No","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/2589/1-c58c94ecbecb.jpg","https://shopsoso.co/wp-content/uploads/2025/05/SOSO_S.O.STUDIOS10063-scaled.jpg"
"30","Vector","soso-99","men","Shirts","250000","3","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","No","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/2570/1-91aeae94422b.jpg","https://shopsoso.co/wp-content/uploads/2025/05/SOSO_S.O.STUDIOS9983-scaled.jpg"
"31","Alba","soso-98-2","men","Shirts","130000","3","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","No","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/2559/1-6c1a3bedd345.jpg","https://shopsoso.co/wp-content/uploads/2025/05/SOSO_S.O.STUDIOS10186_012526-scaled.jpg"
"32","The Kairo","soso-98","men","Kaftans","250000","2","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","No","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/2551/1-ee5d6efdc7dd.jpg","https://shopsoso.co/wp-content/uploads/2025/05/SOSO_S.O.STUDIOS10282_012436-scaled.jpg"
"33","The Zyren","soso-97","men","Kaftans","250000","4","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","No","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/2543/1-4f727ad31595.jpg","https://shopsoso.co/wp-content/uploads/2025/05/SOSO_S.O.STUDIOS10216-scaled.jpg"
"34","The Terra","soso-96","men","Kaftans","250000","4","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","No","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/2532/1-16709bc03fd7.jpg","https://shopsoso.co/wp-content/uploads/2025/05/SOSO_S.O.STUDIOS10161_012506-scaled.jpg"
"35","Echo","soso-95","men","Shirts","130000","6","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","No","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/1875/1-b01b5cb2cf84.jpg","https://shopsoso.co/wp-content/uploads/2025/03/WhatsApp-Image-2025-03-15-at-1.36.52-PM19.jpeg"
"36","Edge","soso-94","men","Men's Ready-to-Wear","100000","5","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","Yes","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/1864/1-864bc12a0769.jpg","https://shopsoso.co/wp-content/uploads/2025/03/WhatsApp-Image-2025-03-15-at-1.36.52-PM15.jpeg"
"37","Mansa","danshiki-2","men","Dashikis","250000","4","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","No","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/1848/1-6346840b2505.jpg","https://shopsoso.co/wp-content/uploads/2025/03/WhatsApp-Image-2025-03-15-at-1.36.52-PM11.jpeg"
"38","The Equinox","soso-93","men","Kaftans","250000","8","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","No","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/1836/1-5e69cccbc2b9.jpg","https://shopsoso.co/wp-content/uploads/2025/03/WhatsApp-Image-2025-03-15-at-1.36.52-PM2.jpeg"
"39","The Sterling","soso-92","men","Kaftans","250000","2","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","No","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/1828/1-cad394af1c1f.jpg","https://shopsoso.co/wp-content/uploads/2024/12/IMG_2823-scaled.jpg"
"40","Azani","danshiki-3","men","Dashikis","250000","4","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","No","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/1822/1-a76a1353c111.jpg","https://shopsoso.co/wp-content/uploads/2024/12/IMG_2820-scaled.jpg"
"41","The Flint","art-piece","men","Kaftans","300000","3","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","No","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/1816/1-e3241599da0c.jpg","https://shopsoso.co/wp-content/uploads/2024/12/IMG_2816-scaled.jpg"
"42","Kito","danshiki-1","men","Dashikis","260000","5","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","No","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/1792/1-9c03682498e7.jpg","https://shopsoso.co/wp-content/uploads/2024/12/IMG_2818-scaled.jpg"
"43","The Solen","soso-91","men","Kaftans","260000","4","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","No","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/1713/1-7eba0b1c88bc.jpg","https://shopsoso.co/wp-content/uploads/2024/09/IMG_0775-scaled.jpg"
"44","The Vantor","soso-90","men","Kaftans","250000","3","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","No","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/1704/1-7bd47c1cf409.jpg","https://shopsoso.co/wp-content/uploads/2024/09/IMG_0778-scaled.jpg"
"45","The Auron","soso-89","men","Kaftans","250000","4","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","No","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/1696/1-c4b3fa1771ec.jpg","https://shopsoso.co/wp-content/uploads/2024/09/IMG_0840-scaled.jpg"
"46","The Elian","soso-88","men","Two-Piece","200000","4","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","No","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/1678/1-91fb1abf18ce.jpg","https://shopsoso.co/wp-content/uploads/2024/09/IMG_0762-scaled.jpg"
"47","The Orvan","soso-87","men","Kaftans","250000","5","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","No","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/1672/1-3108fea2e457.jpg","https://shopsoso.co/wp-content/uploads/2024/09/IMG_0791-scaled.jpg"
"48","The Dune","soso-86","men","Two-Piece","200000","5","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","No","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/1653/1-4b7594f03de6.jpg","https://shopsoso.co/wp-content/uploads/2024/09/IMG_0768-1-scaled.jpg"
"49","The Dualis","soso-85","men","Kaftans","250000","2","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","No","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/1525/1-5cf44a197f34.jpg","https://shopsoso.co/wp-content/uploads/2024/07/WhatsApp-Image-2024-07-07-at-9.59.19-AM.jpeg"
"50","Ayo","soso-84","men","Agbadas","500000","5","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","No","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/1518/1-d0f1853bcaea.jpg","https://shopsoso.co/wp-content/uploads/2024/07/WhatsApp-Image-2024-07-07-at-9.59.18-AM-1.jpeg"
"51","Crest","soso-83","men","Shirts","116000","3","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","No","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/1511/1-0688c962156b.jpg","https://shopsoso.co/wp-content/uploads/2024/07/WhatsApp-Image-2024-07-07-at-9.59.18-AM.jpeg"
"52","Crust","soso-82","men","Shirts","130000","2","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","No","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/1504/1-547a20ea24b0.jpg","https://shopsoso.co/wp-content/uploads/2024/07/WhatsApp-Image-2024-07-07-at-9.59.17-AM.jpeg"
"53","Summit","soso-81","men","Agbadas","500000","5","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","No","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/1497/1-9a15c7885d8b.jpg","https://shopsoso.co/wp-content/uploads/2024/07/WhatsApp-Image-2024-07-07-at-9.59.16-AM-1.jpeg"
"54","The Frontier","soso-80","men","Kaftans","250000","2","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","No","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/1490/1-3e012035ad11.jpg","https://shopsoso.co/wp-content/uploads/2024/07/WhatsApp-Image-2024-07-07-at-9.59.16-AM.jpeg"
"55","Aurel","soso-79-2","women","Women's Ready-to-Wear","125000","6","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","No","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/1483/1-37f1371e8fd5.jpg","https://shopsoso.co/wp-content/uploads/2024/07/WhatsApp-Image-2024-07-07-at-9.59.15-AM-1.jpeg"
"56","The Cedar","the-ko2-attire","men","Kaftans","250000","4","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","No","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/1468/1-b81f5cbc3018.jpg","https://shopsoso.co/wp-content/uploads/2024/07/WhatsApp-Image-2024-07-07-at-9.57.06-AM.jpeg"
"57","The Bronze","the-ko1-attire","men","Kaftans","250000","4","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","No","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/1461/1-543754539eaf.jpg","https://shopsoso.co/wp-content/uploads/2024/07/WhatsApp-Image-2024-07-07-at-9.54.03-AM.jpeg"
"58","The Pinnacle","soso-78","men","Kaftans","206000","4","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","No","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/1446/1-9c2ab994278a.jpg","https://shopsoso.co/wp-content/uploads/2024/04/WhatsApp-Image-2024-04-27-at-1.23.32-PM-2.jpeg"
"59","Toran","soso-77","men","Kaftans","250000","5","S | M | L | XL | XXL","Blue","To be confirmed","To be confirmed","No","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/1435/1-c070bdd4da9d.jpg","https://shopsoso.co/wp-content/uploads/2024/04/WhatsApp-Image-2024-04-27-at-1.23.32-PM-1.jpeg"
"60","Kaevon","the-koles2piece","men","Shirts","220000","3","S | M | L | XL | XXL","White","To be confirmed","To be confirmed","No","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/1404/1-8084880ed5cf.jpg","https://shopsoso.co/wp-content/uploads/2024/02/WhatsApp-Image-2024-02-20-at-4.22.36-PM.jpeg"
"61","The Ember","the-koleskaftan","men","Kaftans","250000","2","S | M | L | XL | XXL","Brown","To be confirmed","To be confirmed","No","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/1396/1-e0e903fe2bb8.jpg","https://shopsoso.co/wp-content/uploads/2024/02/WhatsApp-Image-2024-02-20-at-4.22.32-PM-1.jpeg"
"62","The Alba","soso-76","men","Kaftans","200000","5","S | M | L | XL | XXL","White","To be confirmed","To be confirmed","No","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/1381/1-fe84ab0a6862.jpg","https://shopsoso.co/wp-content/uploads/2024/01/WhatsApp-Image-2024-01-14-at-5.32.57-PM-3.jpeg"
"63","Strata","soso-75","men","Two-Piece","200000","5","S | M | L | XL | XXL","Black","To be confirmed","To be confirmed","No","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/1369/1-219848c355ef.jpg","https://shopsoso.co/wp-content/uploads/2024/01/WhatsApp-Image-2024-01-14-at-1.56.43-PM-5.jpeg"
"64","The Merlot","soso-lb-001","men","Kaftans","250000","6","S | M | L | XL | XXL","As photographed","Wool","To be confirmed","No","No","Yes","No","Yes","No","/api/storage/objects/uploads/legacy-catalogue/1363/1-6127bfd35f60.jpg","https://shopsoso.co/wp-content/uploads/2024/01/IMG_4689-scaled.jpg"
"65","The Elian","soso-73","men","Kaftans","200000","2","S | M | L | XL | XXL","White","To be confirmed","To be confirmed","No","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/1299/1-bfd54fde1e11.jpg","https://shopsoso.co/wp-content/uploads/2023/09/WhatsApp-Image-2023-09-10-at-9.30.55-AM.jpeg"
"66","The Phoenix","soso-72-2","men","Kaftans","250000","2","S | M | L | XL | XXL","As photographed","To be confirmed","To be confirmed","No","No","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/1279/1-62497211b823.jpg","https://shopsoso.co/wp-content/uploads/2023/09/WhatsApp-Image-2023-09-10-at-9.30.56-AM-2.jpeg"
"67","The Crimson","soso-71","men","Kaftans","250000","3","S | M | L | XL | XXL","Red","To be confirmed","To be confirmed","No","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/1248/1-921ba2353f75.jpg","https://shopsoso.co/wp-content/uploads/2023/09/WhatsApp-Image-2023-09-10-at-9.30.56-AM-3.jpeg"
"68","The Noxen","linen-two-piece","men","Two-Piece","200000","3","S | M | L | XL | XXL","Black","Linen","To be confirmed","No","No","No","No","Yes","No","/api/storage/objects/uploads/legacy-catalogue/1238/1-b4e232f5a522.jpg","https://shopsoso.co/wp-content/uploads/2023/09/WhatsApp-Image-2023-09-09-at-3.35.36-PM-2.jpeg"
"69","The Apex","soso-70","men","Kaftans","250000","4","S | M | L | XL | XXL","Black","To be confirmed","To be confirmed","No","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/1228/1-19648a5b9fa4.jpg","https://shopsoso.co/wp-content/uploads/2023/09/WhatsApp-Image-2023-09-09-at-3.28.23-PM.jpeg"
"70","The Toran","soso-69","men","Kaftans","250000","3","S | M | L | XL | XXL","Red","To be confirmed","To be confirmed","No","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/1219/1-4a1231a313fb.jpg","https://shopsoso.co/wp-content/uploads/2023/09/WhatsApp-Image-2023-09-09-at-3.23.59-PM.jpeg"
"71","The Shade","summervibes-shade","men","Kaftans","250000","4","S | M | L | XL | XXL","Black","To be confirmed","To be confirmed","No","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/1159/1-cec46c93b75c.jpg","https://shopsoso.co/wp-content/uploads/2023/08/IMG_0524-scaled.jpg"
"72","The Ambient","summervibes-ambient","men","Kaftans","250000","4","S | M | L | XL | XXL","Brown","To be confirmed","To be confirmed","No","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/1149/1-783fd73753b9.jpg","https://shopsoso.co/wp-content/uploads/2023/08/IMG_0522-scaled.jpg"
"73","The Tint","summervibes-tone","men","Kaftans","250000","3","S | M | L | XL | XXL","Brown","To be confirmed","To be confirmed","No","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/1141/1-284bc953d7b1.jpg","https://shopsoso.co/wp-content/uploads/2023/08/IMG_0529-scaled.jpg"
"74","The Ondine","soso-68","men","Kaftans","250000","3","S | M | L | XL | XXL","Blue","To be confirmed","To be confirmed","No","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/1126/1-112f410bd602.jpg","https://shopsoso.co/wp-content/uploads/2023/07/IMG_0322-scaled.jpg"
"75","SOSO Cufflinks","soso-cufflinks","accessories","Accessories","30000","3","Size review required","As photographed","To be confirmed","To be confirmed","No","No","Yes","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/1119/1-81591c15073f.jpg","https://shopsoso.co/wp-content/uploads/2023/07/IMG_0148-scaled.jpg"
"76","The Nocturne","soso-65","men","Kaftans","250000","3","S | M | L | XL | XXL","Black","To be confirmed","To be confirmed","No","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/1100/1-13274397d1ac.jpg","https://shopsoso.co/wp-content/uploads/2023/07/IMG_0310-scaled.jpg"
"77","Cinder","soso-64","men","Kaftans","175000","3","S | M | L | XL | XXL","Black","To be confirmed","To be confirmed","No","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/1089/1-47de8147e234.jpg","https://shopsoso.co/wp-content/uploads/2023/07/IMG_0301-scaled.jpg"
"78","The Bronzine","soso-63","men","Kaftans","250000","3","S | M | L | XL | XXL","Brown","To be confirmed","To be confirmed","No","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/1062/1-28cb6dca6f6e.jpg","https://shopsoso.co/wp-content/uploads/2023/06/IMG_3792-1.jpg"
"79","The Savile","soso-62","men","Kaftans","250000","6","S | M | L | XL | XXL","Black","To be confirmed","To be confirmed","No","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/1056/1-b219f74c28da.jpg","https://shopsoso.co/wp-content/uploads/2023/06/07136B95-D7DC-4546-B9BA-D68F2319E4A9-1.jpeg"
"80","The Ardoise","soso-61","men","Kaftans","250000","2","S | M | L | XL | XXL","Blue","To be confirmed","To be confirmed","No","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/1042/1-d586b6e536c7.jpg","https://shopsoso.co/wp-content/uploads/2023/06/IMG_8803-scaled.jpg"
"81","The Blanche","soso-60","men","Kaftans","250000","2","S | M | L | XL | XXL","White","To be confirmed","To be confirmed","No","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/1034/1-f625c4be992c.jpg","https://shopsoso.co/wp-content/uploads/2023/06/IMG_8799-scaled.jpg"
"82","The Sable","soso-59-2","men","Kaftans","250000","2","S | M | L | XL | XXL","Black","To be confirmed","To be confirmed","No","No","No","Yes","Yes","No","/api/storage/objects/uploads/legacy-catalogue/1027/1-17f91d9f7a44.jpg","https://shopsoso.co/wp-content/uploads/2023/06/IMG_8801-scaled.jpg"
